row_id,text,speech_act,evidence_type,action_state,signals,domain,group_id,recommended_split,source,review_status,review_confidence,review_notes,previous_text,current_text,next_text,context_text,lifecycle_state,context_dependency,canonical_worthiness,temporal_role,canonical_group_id,gold_include,gold_section
mmt_0001,Orla will review the QMS manual before the next client connect.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Orla will review the QMS manual before the next client connect.,,"[PREVIOUS]

[CURRENT]
Orla will review the QMS manual before the next client connect.
[NEXT]
",,,,,,,
mmt_0002,Orla to follow up with Cody for the MedEnvoy project plan for manufacturer EO.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Orla to follow up with Cody for the MedEnvoy project plan for manufacturer EO.,,"[PREVIOUS]

[CURRENT]
Orla to follow up with Cody for the MedEnvoy project plan for manufacturer EO.
[NEXT]
",,,,,,,
mmt_0003,Orla will share a copy of the new label with Jenny.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Orla will share a copy of the new label with Jenny.,,"[PREVIOUS]

[CURRENT]
Orla will share a copy of the new label with Jenny.
[NEXT]
",,,,,,,
mmt_0004,Orla to share the list of languages for the declarations of conformity.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Orla to share the list of languages for the declarations of conformity.,,"[PREVIOUS]

[CURRENT]
Orla to share the list of languages for the declarations of conformity.
[NEXT]
",,,,,,,
mmt_0005,John-Paul will review the declarations of conformity for sunglasses against MDR and PPE requirements.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,John-Paul will review the declarations of conformity for sunglasses against MDR and PPE requirements.,,"[PREVIOUS]

[CURRENT]
John-Paul will review the declarations of conformity for sunglasses against MDR and PPE requirements.
[NEXT]
",,,,,,,
mmt_0006,Jacqui will review the HPRA invoice fee and confirm the position.,legacy_reviewed,regulatory_obligation,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Jacqui will review the HPRA invoice fee and confirm the position.,,"[PREVIOUS]

[CURRENT]
Jacqui will review the HPRA invoice fee and confirm the position.
[NEXT]
",,,,,,,
mmt_0007,Jenny should review the proposed label layout when Orla sends it through.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Jenny should review the proposed label layout when Orla sends it through.,,"[PREVIOUS]

[CURRENT]
Jenny should review the proposed label layout when Orla sends it through.
[NEXT]
",,,,,,,
mmt_0008,Colm will send the HPRA bill and confirmation email to Jacqui.,legacy_reviewed,regulatory_obligation,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Colm will send the HPRA bill and confirmation email to Jacqui.,,"[PREVIOUS]

[CURRENT]
Colm will send the HPRA bill and confirmation email to Jacqui.
[NEXT]
",,,,,,,
mmt_0009,Andrew will review the mute button flash sequence and confirm whether the alarm state is correct.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,Andrew will review the mute button flash sequence and confirm whether the alarm state is correct.,,"[PREVIOUS]

[CURRENT]
Andrew will review the mute button flash sequence and confirm whether the alarm state is correct.
[NEXT]
",,,,,,,
mmt_0010,Rebecca will complete the clinical review before the change request is closed.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,Rebecca will complete the clinical review before the change request is closed.,,"[PREVIOUS]

[CURRENT]
Rebecca will complete the clinical review before the change request is closed.
[NEXT]
",,,,,,,
mmt_0011,Andrew and Rebecca need to sign off the change request after the final evidence is added.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record|decision_language,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,Andrew and Rebecca need to sign off the change request after the final evidence is added.,,"[PREVIOUS]

[CURRENT]
Andrew and Rebecca need to sign off the change request after the final evidence is added.
[NEXT]
",,,,,,,
mmt_0012,David and Andrew will review the debug commands and decide which should remain available.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|decision_language,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,David and Andrew will review the debug commands and decide which should remain available.,,"[PREVIOUS]

[CURRENT]
David and Andrew will review the debug commands and decide which should remain available.
[NEXT]
",,,,,,,
mmt_0013,David will generate retrospective test data for the graphics driver issue.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,David will generate retrospective test data for the graphics driver issue.,,"[PREVIOUS]

[CURRENT]
David will generate retrospective test data for the graphics driver issue.
[NEXT]
",,,,,,,
mmt_0014,Rebecca will update the risk management file with the latest mitigation.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|document_or_record|risk_language,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,Rebecca will update the risk management file with the latest mitigation.,,"[PREVIOUS]

[CURRENT]
Rebecca will update the risk management file with the latest mitigation.
[NEXT]
",,,,,,,
mmt_0015,Stuart will complete the risk assessment to develop the audit plan by Wednesday.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record|risk_language,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,Stuart will complete the risk assessment to develop the audit plan by Wednesday.,,"[PREVIOUS]

[CURRENT]
Stuart will complete the risk assessment to develop the audit plan by Wednesday.
[NEXT]
",,,,,,,
mmt_0016,Stuart will share the risk analysis with Niamh before she arrives.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|deadline_or_sequence|risk_language,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,Stuart will share the risk analysis with Niamh before she arrives.,,"[PREVIOUS]

[CURRENT]
Stuart will share the risk analysis with Niamh before she arrives.
[NEXT]
",,,,,,,
mmt_0017,Claire will send Conor the updated draft minutes by Friday.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|deadline_or_sequence|document_or_record,evidence,source:generic_seed,train,generic_seed,human_approved,,,,Claire will send Conor the updated draft minutes by Friday.,,"[PREVIOUS]

[CURRENT]
Claire will send Conor the updated draft minutes by Friday.
[NEXT]
",,,,,,,
mmt_0018,The team agreed that the importer should hold final storage responsibility.,legacy_reviewed,decision_agreement,not_action,decision_language|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,The team agreed that the importer should hold final storage responsibility.,,"[PREVIOUS]

[CURRENT]
The team agreed that the importer should hold final storage responsibility.
[NEXT]
",,,,,,,
