row_id,text,speech_act,evidence_type,action_state,signals,domain,group_id,recommended_split,source,review_status,review_confidence,review_notes
csa_0001,Marta: I'll reconcile the warehouse count by Friday.,commitment,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0002,Marta: I can reconcile the warehouse count. I'll have it done by Friday.,volunteer_commitment,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0003,"Could Marta reconcile the warehouse count by Friday? Marta: Yes, I'll take that.",request_acceptance_thread,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0004,"Lead: Can you reconcile the warehouse count?
Marta: Yes.
Lead: Can you finish by Friday?
Marta: That works.",distributed_request_acceptance,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0005,Marta to reconcile the warehouse count; due Friday.,minutes_assignment,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0006,"Actions recap: Marta, you're taking the item to reconcile the warehouse count. Marta: Correct, by Friday.",recap_assignment,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0007,We need someone to reconcile the warehouse count. Marta: Leave that with me; Friday is fine.,contextual_volunteer,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0008,"We need to reconcile the warehouse count, but nobody accepted ownership or timing.",ownerless_need,discussion_topic,possible_action,explicit_commitment_verb|deliverable_object,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,medium,Label and negative-state relationship checked against canonical staged semantics.
csa_0009,It would help to reconcile the warehouse count. The group moved on without assigning it.,unassigned_suggestion,discussion_topic,possible_action,deliverable_object,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,medium,Label and negative-state relationship checked against canonical staged semantics.
csa_0010,"Perhaps Marta could reconcile the warehouse count if there is time, but this was not agreed.",hypothetical,discussion_topic,not_action,named_owner|deliverable_object|hypothetical_language,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0011,"Marta: I might reconcile the warehouse count, depending on capacity. Lead: Treat that as an idea, not an action.",explicitly_uncommitted,discussion_topic,not_action,named_owner|deliverable_object|hypothetical_language,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0012,Marta already completed the work to reconcile the warehouse count yesterday.,completed_history,background_context,completed_history,named_owner|deliverable_object|completed_tense,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0013,Lead: Marta should reconcile the warehouse count. Marta: That's already done; it closed yesterday.,completed_correction,background_context,completed_history,named_owner|deliverable_object|completed_tense,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0014,Do not reconcile the warehouse count; that proposed action has been cancelled.,rejection,decision_agreement,not_action,deliverable_object|decision_language,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0015,Earlier we asked Marta to reconcile the warehouse count. That assignment is withdrawn and must not remain open.,superseded_action,decision_agreement,not_action,named_owner|deliverable_object|decision_language,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0016,The team agreed to use barcode scanning for the next stocktake.,decision,decision_agreement,not_action,decision_language|deliverable_object,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0017,"Option A was discussed, but the final position is to use barcode scanning for the next stocktake.",decision_after_alternative,decision_agreement,not_action,decision_language|deliverable_object,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0018,"Lead: Shall we use barcode scanning for the next stocktake?
Team: Agreed. That's the approach we will use.",proposal_acceptance_decision,decision_agreement,not_action,decision_language|deliverable_object,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0019,"One option would be to use barcode scanning for the next stocktake, although no decision was made.",unconfirmed_option,discussion_topic,not_action,hypothetical_language|deliverable_object,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0020,The team identified that late supplier files could delay reconciliation.,risk,risk_dependency,not_action,risk_language|deliverable_object,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0021,"If the dependency is not resolved, late supplier files could delay reconciliation. The issue remains open.",conditional_risk,risk_dependency,not_action,risk_language|deliverable_object,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0022,"The team checked whether late supplier files could delay reconciliation, but evidence confirmed the exposure is closed and no monitoring is required.",closed_risk_negative,background_context,not_action,deliverable_object|completed_tense,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,medium,Label and negative-state relationship checked against canonical staged semantics.
csa_0023,The current position is that the inventory work remains in progress.,informational,background_context,not_action,,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0024,Can everyone see the inventory screen? We will pause for two minutes before continuing.,administrative,low_value_noise,not_action,,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0025,"Marta: I promise I'll bring coffee to the next inventory call. This is social chat, not project work.",social_false_commitment,low_value_noise,not_action,named_owner,inventory,speech_act_001_inventory,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0026,Elliot: I'll patch the mobile login redirect by today.,commitment,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,mobile_release,speech_act_002_mobile_release,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0027,Elliot: I can patch the mobile login redirect. I'll have it done by today.,volunteer_commitment,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,mobile_release,speech_act_002_mobile_release,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0028,"Could Elliot patch the mobile login redirect by today? Elliot: Yes, I'll take that.",request_acceptance_thread,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,mobile_release,speech_act_002_mobile_release,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0029,"Lead: Can you patch the mobile login redirect?
Elliot: Yes.
Lead: Can you finish by today?
Elliot: That works.",distributed_request_acceptance,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,mobile_release,speech_act_002_mobile_release,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0030,Elliot to patch the mobile login redirect; due today.,minutes_assignment,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,mobile_release,speech_act_002_mobile_release,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0031,"Actions recap: Elliot, you're taking the item to patch the mobile login redirect. Elliot: Correct, by today.",recap_assignment,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,mobile_release,speech_act_002_mobile_release,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0032,We need someone to patch the mobile login redirect. Elliot: Leave that with me; today is fine.,contextual_volunteer,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence,mobile_release,speech_act_002_mobile_release,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,high,Label and negative-state relationship checked against canonical staged semantics.
csa_0033,"We need to patch the mobile login redirect, but nobody accepted ownership or timing.",ownerless_need,discussion_topic,possible_action,explicit_commitment_verb|deliverable_object,mobile_release,speech_act_002_mobile_release,train,ai_authored_speech_act_contrast_v1,assistant_reviewed_candidate,medium,Label and negative-state relationship checked against canonical staged semantics.
