row_id,text,current_text,context_text,speech_act,domain,group_id,recommended_split,source,review_status,review_confidence,review_notes,canonical_group_id,gold_include,previous_text,next_text,lifecycle_state,context_dependency,canonical_worthiness,temporal_role,gold_section,evidence_type,action_state,signals
ctx_001_01,I'll reconcile the warehouse count.,I'll reconcile the warehouse count.,"[PREVIOUS]
We need someone to handle this.
[CURRENT]
I'll reconcile the warehouse count.
[NEXT]
Can it be done by Friday?",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_001,True,We need someone to handle this.,Can it be done by Friday?,active,needs_previous,canonical_item,none,action,action_commitment,confirmed_action,
ctx_001_02,Before Friday.,Before Friday.,"[PREVIOUS]
I'll reconcile the warehouse count.
[CURRENT]
Before Friday.
[NEXT]
Yes, that works.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_001,True,I'll reconcile the warehouse count.,"Yes, that works.",none,needs_previous,context_only,deadline_previous,action,action_commitment,not_action,deadline_or_sequence
ctx_001_03,"Yes, I'll take that.","Yes, I'll take that.","[PREVIOUS]
Could you reconcile the warehouse count?
[CURRENT]
Yes, I'll take that.
[NEXT]
Please finish by Friday.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_001,True,Could you reconcile the warehouse count?,Please finish by Friday.,active,accepts_previous,canonical_item,none,action,action_commitment,confirmed_action,
ctx_001_04,Marta will reconcile the warehouse count by Friday.,Marta will reconcile the warehouse count by Friday.,"[PREVIOUS]
The work is on the list.
[CURRENT]
Marta will reconcile the warehouse count by Friday.
[NEXT]
Let's move on.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_001,True,The work is on the list.,Let's move on.,active,standalone,canonical_item,deadline_current,action,action_commitment,confirmed_action,deadline_or_sequence
ctx_001_05,I completed the work to reconcile the warehouse count yesterday.,I completed the work to reconcile the warehouse count yesterday.,"[PREVIOUS]
Here is the status.
[CURRENT]
I completed the work to reconcile the warehouse count yesterday.
[NEXT]
Nothing remains open.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,Here is the status.,Nothing remains open.,completed,standalone,context_only,historical,,background_context,completed_history,
ctx_001_06,I might reconcile the warehouse count if capacity allows.,I might reconcile the warehouse count if capacity allows.,"[PREVIOUS]
We may need help.
[CURRENT]
I might reconcile the warehouse count if capacity allows.
[NEXT]
No action was agreed.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We may need help.,No action was agreed.,tentative,needs_next,context_only,other,,background_context,not_action,
ctx_001_07,"Actually, another owner will reconcile the warehouse count instead.","Actually, another owner will reconcile the warehouse count instead.","[PREVIOUS]
Marta will reconcile the warehouse count.
[CURRENT]
Actually, another owner will reconcile the warehouse count instead.
[NEXT]
Use the new owner.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_001,True,Marta will reconcile the warehouse count.,Use the new owner.,superseded,modifies_previous,canonical_item,none,action,action_commitment,not_action,
ctx_001_08,Do not proceed with that action.,Do not proceed with that action.,"[PREVIOUS]
Please reconcile the warehouse count.
[CURRENT]
Do not proceed with that action.
[NEXT]
It is no longer required.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,Please reconcile the warehouse count.,It is no longer required.,inactive,modifies_previous,context_only,none,,background_context,not_action,
ctx_001_09,We agreed to use barcode scanning for the next stocktake.,We agreed to use barcode scanning for the next stocktake.,"[PREVIOUS]
We should choose an approach.
[CURRENT]
We agreed to use barcode scanning for the next stocktake.
[NEXT]
That is the final position.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_001,True,We should choose an approach.,That is the final position.,none,standalone,canonical_item,none,decision,decision_agreement,not_action,decision_language
ctx_001_10,Agreed.,Agreed.,"[PREVIOUS]
The proposal is to use barcode scanning for the next stocktake.
[CURRENT]
Agreed.
[NEXT]
Let's use that approach.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_001,True,The proposal is to use barcode scanning for the next stocktake.,Let's use that approach.,none,accepts_previous,supporting_detail,none,decision,decision_agreement,not_action,decision_language
ctx_001_11,"Yes, that is the decision.","Yes, that is the decision.","[PREVIOUS]
We agreed to use barcode scanning for the next stocktake.
[CURRENT]
Yes, that is the decision.
[NEXT]
Next topic.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_001,True,We agreed to use barcode scanning for the next stocktake.,Next topic.,none,needs_previous,duplicate_expression,none,decision,decision_agreement,not_action,decision_language
