row_id,group_id,recommended_split,current_text,context_text,discourse_role,source,review_status
disc_s_csa_0001,speech_act_001_inventory,train,Marta: I'll reconcile the warehouse count by Friday.,"[CURRENT]
Marta: I'll reconcile the warehouse count by Friday.",canonical_commitment,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0002,speech_act_001_inventory,train,Marta: I can reconcile the warehouse count. I'll have it done by Friday.,"[CURRENT]
Marta: I can reconcile the warehouse count. I'll have it done by Friday.",canonical_commitment,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0003,speech_act_001_inventory,train,"Could Marta reconcile the warehouse count by Friday? Marta: Yes, I'll take that.","[CURRENT]
Could Marta reconcile the warehouse count by Friday? Marta: Yes, I'll take that.",canonical_commitment,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0004,speech_act_001_inventory,train,"Lead: Can you reconcile the warehouse count?
Marta: Yes.
Lead: Can you finish by Friday?
Marta: That works.","[CURRENT]
Lead: Can you reconcile the warehouse count?
Marta: Yes.
Lead: Can you finish by Friday?
Marta: That works.",canonical_commitment,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0005,speech_act_001_inventory,train,Marta to reconcile the warehouse count; due Friday.,"[CURRENT]
Marta to reconcile the warehouse count; due Friday.",canonical_commitment,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0006,speech_act_001_inventory,train,"Actions recap: Marta, you're taking the item to reconcile the warehouse count. Marta: Correct, by Friday.","[CURRENT]
Actions recap: Marta, you're taking the item to reconcile the warehouse count. Marta: Correct, by Friday.",single_item_recap,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0007,speech_act_001_inventory,train,We need someone to reconcile the warehouse count. Marta: Leave that with me; Friday is fine.,"[CURRENT]
We need someone to reconcile the warehouse count. Marta: Leave that with me; Friday is fine.",canonical_commitment,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0008,speech_act_001_inventory,train,"We need to reconcile the warehouse count, but nobody accepted ownership or timing.","[CURRENT]
We need to reconcile the warehouse count, but nobody accepted ownership or timing.",unassigned_proposal,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0009,speech_act_001_inventory,train,It would help to reconcile the warehouse count. The group moved on without assigning it.,"[CURRENT]
It would help to reconcile the warehouse count. The group moved on without assigning it.",unassigned_proposal,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0010,speech_act_001_inventory,train,"Perhaps Marta could reconcile the warehouse count if there is time, but this was not agreed.","[CURRENT]
Perhaps Marta could reconcile the warehouse count if there is time, but this was not agreed.",hypothetical,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0011,speech_act_001_inventory,train,"Marta: I might reconcile the warehouse count, depending on capacity. Lead: Treat that as an idea, not an action.","[CURRENT]
Marta: I might reconcile the warehouse count, depending on capacity. Lead: Treat that as an idea, not an action.",hypothetical,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0012,speech_act_001_inventory,train,Marta already completed the work to reconcile the warehouse count yesterday.,"[CURRENT]
Marta already completed the work to reconcile the warehouse count yesterday.",completed_history,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0013,speech_act_001_inventory,train,Lead: Marta should reconcile the warehouse count. Marta: That's already done; it closed yesterday.,"[CURRENT]
Lead: Marta should reconcile the warehouse count. Marta: That's already done; it closed yesterday.",completed_history,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0014,speech_act_001_inventory,train,Do not reconcile the warehouse count; that proposed action has been cancelled.,"[CURRENT]
Do not reconcile the warehouse count; that proposed action has been cancelled.",state_modifier,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0015,speech_act_001_inventory,train,Earlier we asked Marta to reconcile the warehouse count. That assignment is withdrawn and must not remain open.,"[CURRENT]
Earlier we asked Marta to reconcile the warehouse count. That assignment is withdrawn and must not remain open.",state_modifier,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0016,speech_act_001_inventory,train,The team agreed to use barcode scanning for the next stocktake.,"[CURRENT]
The team agreed to use barcode scanning for the next stocktake.",canonical_assertion,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
disc_s_csa_0017,speech_act_001_inventory,train,"Option A was discussed, but the final position is to use barcode scanning for the next stocktake.","[CURRENT]
Option A was discussed, but the final position is to use barcode scanning for the next stocktake.",canonical_assertion,derived_reusable_speech_act_curriculum_v1,assistant_reviewed_candidate
