row_id,text,speech_act,evidence_type,action_state,signals,domain,group_id,recommended_split,source,review_status,review_confidence,review_notes
mmt_0001,Orla will review the QMS manual before the next client connect.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,
mmt_0002,Orla to follow up with Cody for the MedEnvoy project plan for manufacturer EO.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,
mmt_0003,Orla will share a copy of the new label with Jenny.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,
mmt_0004,Orla to share the list of languages for the declarations of conformity.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,
mmt_0005,John-Paul will review the declarations of conformity for sunglasses against MDR and PPE requirements.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,
mmt_0006,Jacqui will review the HPRA invoice fee and confirm the position.,legacy_reviewed,regulatory_obligation,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,
mmt_0007,Jenny should review the proposed label layout when Orla sends it through.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,
mmt_0008,Colm will send the HPRA bill and confirmation email to Jacqui.,legacy_reviewed,regulatory_obligation,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,
mmt_0009,Andrew will review the mute button flash sequence and confirm whether the alarm state is correct.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object,evidence,source:t761_seed,validation,t761_seed,human_approved,,
mmt_0010,Rebecca will complete the clinical review before the change request is closed.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record,evidence,source:t761_seed,validation,t761_seed,human_approved,,
mmt_0011,Andrew and Rebecca need to sign off the change request after the final evidence is added.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record|decision_language,evidence,source:t761_seed,validation,t761_seed,human_approved,,
mmt_0012,David and Andrew will review the debug commands and decide which should remain available.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|decision_language,evidence,source:t761_seed,validation,t761_seed,human_approved,,
mmt_0013,David will generate retrospective test data for the graphics driver issue.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object,evidence,source:t761_seed,validation,t761_seed,human_approved,,
mmt_0014,Rebecca will update the risk management file with the latest mitigation.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|document_or_record|risk_language,evidence,source:t761_seed,validation,t761_seed,human_approved,,
mmt_0015,Stuart will complete the risk assessment to develop the audit plan by Wednesday.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record|risk_language,evidence,source:abbott_seed,test,abbott_seed,human_approved,,
mmt_0016,Stuart will share the risk analysis with Niamh before she arrives.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|deadline_or_sequence|risk_language,evidence,source:abbott_seed,test,abbott_seed,human_approved,,
